Country,Year,doctors_per_10k,hospital_beds_per_10k,infant_mortality_rate,maternal_mortality_rate,tb_incidence_per_100k,dtp3_vaccination_rate,nurses_per_10k,gdp_per_capita,pop_density,health_exp_usd,health_exp_gdp,population_total,urban_population,poverty_headcount,gini_index
AFG,2010,2.44,66.0,76.86026227800001,,,88.286125958,66.0,560.621505463146,43.3652070588596,46.42438889,8.56967163,28284089.0,22.2614799010924,,
AFG,2011,2.58,68.0,73.94238697266667,54.848922230999996,4.459632455,84.60819211825,68.0,606.694676337726,44.9959492816951,52.18721771,8.56190777,29347708.0,22.8205691572485,,
AFG,2012,2.46,67.0,71.194370861,,4.638737991,81.18475175275,67.0,651.417134470046,46.8546892967205,52.45247269,7.89716864,30560034.0,23.3434391310979,,
AFG,2013,2.9,64.0,68.62567141699999,43.840326515499996,4.596064177,77.9963797515,64.0,637.087099117099,48.4839765113534,56.16043472,8.80596447,31622704.0,23.8077136743646,,
AFG,2014,3.04,62.0,66.27921923266666,38.722644592,4.558965245,75.091706163875,63.0,625.054941813938,50.2775447311531,60.04951096,9.52887821,32792523.0,24.1910166387726,,
AFG,2015,2.9,64.0,64.14319214566667,,4.431929186,72.41093738625,65.0,565.569730408751,51.8709105683578,59.91960526,10.10534763,33831764.0,24.4649118421568,,
AFG,2016,2.84,66.0,62.18389060966667,,4.496174045,69.94124762999999,66.0,522.082215583898,53.2030296061205,61.37234497,11.81859016,34700612.0,24.6588345720126,,
AFG,2017,2.45,64.0,60.35225460433333,62.0,4.237166677,67.615463167375,64.0,525.469770891619,54.7183278904681,66.82388306,12.62081718,35688935.0,24.8352821238871,,
AFG,2018,3.03,68.0,58.58494827966667,,4.002662817,65.4152013615,67.0,491.337221382603,56.3344817012404,71.22509003,14.20841885,36743039.0,24.9991645191406,,
AFG,2019,2.14,65.0,56.87289927533334,,3.833197301,63.2994799905,63.0,496.6025042585,58.0410606687825,74.0642395,14.83131981,37856121.0,25.1437258839803,,
AFG,2020,2.53,61.0,55.22117378833334,,3.346133088,61.288573534125,61.0,510.787063366811,59.9006163469942,80.0892334,15.53361416,39068979.0,25.2622103446137,,
AFG,2021,,55.0,53.56895438266667,40.0,3.635212648,59.307238921625,55.0,356.496214115892,61.3286907992579,81.52112579,21.508461,40000412.0,25.3478620272481,,
AFG,2022,,58.0,51.894931424,,3.583394077,57.350495334125,60.0,357.261152798144,62.2155405301811,80.6516037,23.0881691,40578842.0,25.3939250580909,,
AFG,2023,3.17,60.0,50.29011368366667,,3.525529744,55.48249831725,59.0,413.757894705303,63.5585008355948,,,41454761.0,25.4730529631167,,
AFG,2024,,59.0,,,,,59.0,,,,,,,,
BGD,2010,3.52,94.0,36.83291483466667,64.403489105,5.359851499,48.886147559875,94.0,757.385280361508,1169.25544288238,20.62105751,2.28807664,152201981.0,27.7254372588696,25.1,32.1
BGD,2011,3.73,96.0,35.39907857,58.268839108,5.330778497,46.724467293000004,96.0,837.336944695647,1179.92683413997,22.77348328,2.36418128,153591076.0,28.1100162712427,,
BGD,2012,3.9,94.0,34.028912928000004,63.0356726465,6.132903329,44.671378889375,94.0,859.680536375497,1191.28909118845,23.43771553,2.3537879,155070101.0,28.4787972894576,,
