Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2650031,HWF_0001,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2019,,,,,,,24.58,24.58,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2707136,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,7.27,7.27,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2725847,HWF_0001,COUNTRY,ZAF,AFR,YEAR,Africa,,,2012,,,,,,,7.15,7.15,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2733167,HWF_0001,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2016,,,,,,,4.33,4.33,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2752471,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2012,,,,,,,17.35,17.35,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3043494,HWF_0001,COUNTRY,KEN,AFR,YEAR,Africa,,,2010,,,,,,,1.71,1.71,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3114293,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2017,,,,,,,5.35,5.35,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
3137830,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2018,,,,,,,23.41,23.41,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3163907,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2012,,,,,,,21.2,21.2,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3250345,HWF_0001,COUNTRY,GHA,AFR,YEAR,Africa,,,2018,,,,,,,1.44,1.44,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3350558,HWF_0001,COUNTRY,GHA,AFR,YEAR,Africa,,,2010,,,,,,,0.91,0.91,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3444490,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2016,,,,,,,22.86,22.86,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3613356,HWF_0001,COUNTRY,MDG,AFR,YEAR,Africa,,,2011,,,,,,,1.37,1.37,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
