Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2633859,WHS4_100,COUNTRY,NGA,AFR,YEAR,Africa,,,2013,,,,,,,39,39.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2640523,WHS4_100,COUNTRY,MEX,AMR,YEAR,Americas,,,2018,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2696612,WHS4_100,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2015,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2713771,WHS4_100,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2013,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2716345,WHS4_100,COUNTRY,ZAF,AFR,YEAR,Africa,,,2011,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2867567,WHS4_100,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2020,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2893558,WHS4_100,COUNTRY,TUR,EUR,YEAR,Europe,,,2021,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3115449,WHS4_100,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2024,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
3127134,WHS4_100,COUNTRY,KEN,AFR,YEAR,Africa,,,2016,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3157692,WHS4_100,COUNTRY,POL,EUR,YEAR,Europe,,,2012,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3378639,WHS4_100,COUNTRY,UGA,AFR,YEAR,Africa,,,2015,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3455547,WHS4_100,COUNTRY,BRA,AMR,YEAR,Americas,,,2018,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3481206,WHS4_100,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2010,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3502006,WHS4_100,COUNTRY,NGA,AFR,YEAR,Africa,,,2018,,,,,,,61,61.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3584442,WHS4_100,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2022,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3588922,WHS4_100,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2011,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3597355,WHS4_100,COUNTRY,COL,AMR,YEAR,Americas,,,2018,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3743496,WHS4_100,COUNTRY,RWA,AFR,YEAR,Africa,,,2010,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3793363,WHS4_100,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2018,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
33310,WHS4_100,COUNTRY,COL,AMR,YEAR,Americas,,,2016,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
62689,WHS4_100,COUNTRY,UGA,AFR,YEAR,Africa,,,2016,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
146844,WHS4_100,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2011,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
161286,WHS4_100,COUNTRY,ZAF,AFR,YEAR,Africa,,,2014,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
223336,WHS4_100,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,61,61.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
281150,WHS4_100,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2017,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
350363,WHS4_100,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2024,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
362980,WHS4_100,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2010,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
383124,WHS4_100,COUNTRY,ZAF,AFR,YEAR,Africa,,,2018,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
507609,WHS4_100,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
519643,WHS4_100,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
654857,WHS4_100,COUNTRY,POL,EUR,YEAR,Europe,,,2013,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
657417,WHS4_100,COUNTRY,CHL,AMR,YEAR,Americas,,,2019,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
702215,WHS4_100,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
771802,WHS4_100,COUNTRY,BRA,AMR,YEAR,Americas,,,2020,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
797591,WHS4_100,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2023,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
830113,WHS4_100,COUNTRY,UGA,AFR,YEAR,Africa,,,2020,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
