Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3594526,MDG_0000000001,COUNTRY,GHA,AFR,YEAR,Africa,SEX,2021,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,30.2 [25.5-35.9],30.241757238,25.479009297,35.864071662,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3594840,MDG_0000000001,COUNTRY,TUR,EUR,YEAR,Europe,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,9.1 [7.8-10.8],9.086664983,7.809039109,10.765330252,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3595528,MDG_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,25.4 [17.2-37.3],25.444944722,17.245850425,37.33807435,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3598079,MDG_0000000001,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2014,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,48.2 [43.2-53.7],48.24973745,43.234200178,53.683430355,,2025-04-15T15:49:27.583+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3612441,MDG_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2023,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.2 [6.3-9.0],7.203764881,6.308402762,9.042188863,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3614187,MDG_0000000001,COUNTRY,ZAF,AFR,YEAR,Africa,SEX,2022,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.5 [22.5-26.6],24.528697562,22.500355827,26.638729786,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3617828,MDG_0000000001,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2022,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,49.1 [40.0-60.8],49.107001616,39.968521844,60.78397572,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3626191,MDG_0000000001,COUNTRY,RWA,AFR,YEAR,Africa,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,30.2 [25.4-35.9],30.217862232,25.389203378,35.8543691,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3634337,MDG_0000000001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,2017,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.8 [15.0-26.3],19.78615983,14.987451899,26.329129524,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
3643675,MDG_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2017,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.7 [9.3-12.0],10.662902357,9.319063588,11.99272817,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
3652676,MDG_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2012,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.5 [10.6-13.9],12.539430107,10.554984999,13.912610558,,2025-04-15T15:49:27.583+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
