Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3561180,MDG_0000000003,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,0,0.0,,,Registration National Statistics & WPP2024,2025-05-06T16:35:10.26+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3573973,MDG_0000000003,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,2014,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,11.2,11.18999958,,,China 2014 Annual Population Change Survey (1‰ Survey),2025-05-06T16:35:10.26+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3634380,MDG_0000000003,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,1.6,1.557414889,,,Bangladesh 2019 Multiple Indicator Cluster Survey,2025-05-06T16:35:10.26+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3637309,MDG_0000000003,COUNTRY,BRA,YEAR,AMR,Americas,SEX,2012,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,3.4,3.439130545,,,Registration National Statistics & WPP2024,2025-05-06T16:35:10.26+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3674469,MDG_0000000003,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,0.4,0.399509966,,,Pakistan 2017-2018 Demographic and Health Survey,2025-05-06T16:35:10.26+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3685393,MDG_0000000003,COUNTRY,RWA,YEAR,AFR,Africa,SEX,2012,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,0.4,0.350046486,,,Rwanda 2014-2015 Demographic and Health Survey,2025-05-06T16:35:10.26+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3710293,MDG_0000000003,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2012,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,1.3,1.28605926,,,India 2019-2021 National Family Health Survey,2025-05-06T16:35:10.26+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3719055,MDG_0000000003,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,2018,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,54.0,54.0,,,Pakistan 2018-2019 Living Standards Measurement Survey,2025-05-06T16:35:10.26+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3737089,MDG_0000000003,COUNTRY,NGA,YEAR,AFR,Africa,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,117.8,117.7842712,,,Nigeria 2018 Demographic and Health Survey,2025-05-06T16:35:10.26+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3754866,MDG_0000000003,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2018,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,0.9,0.945238352,,,Registration National Statistics & WPP2024,2025-05-06T16:35:10.26+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3774701,MDG_0000000003,COUNTRY,TUR,YEAR,EUR,Europe,SEX,2013,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS10-14,,,,,0.1,0.100000001,,,Registration Eurostat,2025-05-06T16:35:10.26+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3811009,MDG_0000000003,COUNTRY,KEN,YEAR,AFR,Africa,SEX,2012,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,100.7,100.734108,,,Kenya 2014 Demographic and Health Survey,2025-05-06T16:35:10.26+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3818943,MDG_0000000003,COUNTRY,MEX,YEAR,AMR,Americas,SEX,2013,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,79.1,79.08000946,,,Registration National Statistics & WPP2024,2025-05-06T16:35:10.26+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3831406,MDG_0000000003,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,46.9,46.89332962,,,Philippines 2017 Demographic and Health Survey,2025-05-06T16:35:10.26+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3844128,MDG_0000000003,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,2011,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,53.4,53.40000153,,,Registration National Statistics,2025-05-06T16:35:10.26+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3849221,MDG_0000000003,COUNTRY,MEX,YEAR,AMR,Americas,SEX,2014,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS15-19,,,,,75.7,75.74388885,,,Registration National Statistics & WPP2024,2025-05-06T16:35:10.26+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
