Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2680640,WHS4_544,COUNTRY,TUR,EUR,YEAR,Europe,,,2016,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2694494,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2023,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2731939,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2024,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
2754141,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2011,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2762454,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2776050,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2022,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2803786,WHS4_544,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2020,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2815368,WHS4_544,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2826458,WHS4_544,COUNTRY,UGA,AFR,YEAR,Africa,,,2012,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2888971,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2020,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2890532,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2023,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2897399,WHS4_544,COUNTRY,COL,AMR,YEAR,Americas,,,2019,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2939154,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2013,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2954939,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2023,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2976474,WHS4_544,COUNTRY,RWA,AFR,YEAR,Africa,,,2012,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2987619,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2020,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3017928,WHS4_544,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2011,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3020176,WHS4_544,COUNTRY,KEN,AFR,YEAR,Africa,,,2023,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3023264,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2018,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
3096271,WHS4_544,COUNTRY,RWA,AFR,YEAR,Africa,,,2023,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3128677,WHS4_544,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2023,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3271043,WHS4_544,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2015,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3280984,WHS4_544,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2012,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
3323537,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2016,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3329923,WHS4_544,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3360543,WHS4_544,COUNTRY,NGA,AFR,YEAR,Africa,,,2020,,,,,,,62,62.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3364506,WHS4_544,COUNTRY,ZAF,AFR,YEAR,Africa,,,2023,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
3377454,WHS4_544,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2013,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3404476,WHS4_544,COUNTRY,TUR,EUR,YEAR,Europe,,,2010,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3468021,WHS4_544,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2014,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
