economy,time,Country,Time,NY.GDP.PCAP.CD
POL,YR2023,Poland,2023,22145.2660647429
POL,YR2022,Poland,2022,18891.2121169279
POL,YR2021,Poland,2021,18635.5104895754
POL,YR2020,Poland,2020,16150.9304813473
POL,YR2019,Poland,2019,15874.5220531254
POL,YR2018,Poland,2018,15658.2120316794
POL,YR2017,Poland,2017,13913.3402919927
POL,YR2016,Poland,2016,12464.0110508476
POL,YR2015,Poland,2015,12637.5220324406
POL,YR2014,Poland,2014,14262.2841914116
POL,YR2013,Poland,2013,13621.9023794031
POL,YR2012,Poland,2012,13087.420943321
POL,YR2011,Poland,2011,13867.6669408192
POL,YR2010,Poland,2010,12567.7317676382
CHL,YR2023,Chile,2023,17067.0364799154
CHL,YR2022,Chile,2022,15405.6165774073
CHL,YR2021,Chile,2021,16206.8325493421
CHL,YR2020,Chile,2020,13114.815470545
CHL,YR2019,Chile,2019,14495.716721687
CHL,YR2018,Chile,2018,15659.4808675628
CHL,YR2017,Chile,2017,14879.9086227187
CHL,YR2016,Chile,2016,13649.8520452803
CHL,YR2015,Chile,2015,13433.9202987032
CHL,YR2014,Chile,2014,14529.6767206336
CHL,YR2013,Chile,2013,15683.5486369155
CHL,YR2012,Chile,2012,15241.9069981119
CHL,YR2011,Chile,2011,14487.3927832032
CHL,YR2010,Chile,2010,12632.8704724192
SGP,YR2023,Singapore,2023,85412.230345235
SGP,YR2022,Singapore,2022,90299.0694637269
SGP,YR2021,Singapore,2021,80056.1288247844
SGP,YR2020,Singapore,2020,61410.0792630788
SGP,YR2019,Singapore,2019,65952.0378959293
SGP,YR2018,Singapore,2018,66881.6067035265
SGP,YR2017,Singapore,2017,61236.251270627
SGP,YR2016,Singapore,2016,57005.5887176547
SGP,YR2015,Singapore,2015,55645.6068614606
SGP,YR2014,Singapore,2014,57564.8023114977
SGP,YR2013,Singapore,2013,56967.4257940383
SGP,YR2012,Singapore,2012,55547.5553077786
SGP,YR2011,Singapore,2011,53891.4570264372
