economy,time,Country,Time,SH.XPD.CHEX.PC.CD
POL,YR2023,Poland,2023,1543.71240234
POL,YR2022,Poland,2022,1193.13061523
POL,YR2021,Poland,2021,1183.30236816
POL,YR2020,Poland,2020,1025.98486328
POL,YR2019,Poland,2019,1014.03820801
POL,YR2018,Poland,2018,978.73565674
POL,YR2017,Poland,2017,909.57818604
POL,YR2016,Poland,2016,816.08618164
POL,YR2015,Poland,2015,803.95965576
POL,YR2014,Poland,2014,911.29815674
POL,YR2013,Poland,2013,878.08837891
POL,YR2012,Poland,2012,815.1418457
POL,YR2011,Poland,2011,866.09466553
POL,YR2010,Poland,2010,809.19940186
CHL,YR2023,Chile,2023,1714.8927002
CHL,YR2022,Chile,2022,1547.28967285
CHL,YR2021,Chile,2021,1576.69287109
CHL,YR2020,Chile,2020,1270.97814941
CHL,YR2019,Chile,2019,1348.99401855
CHL,YR2018,Chile,2018,1430.70263672
CHL,YR2017,Chile,2017,1353.69274902
CHL,YR2016,Chile,2016,1167.89306641
CHL,YR2015,Chile,2015,1122.13378906
CHL,YR2014,Chile,2014,1138.66113281
CHL,YR2013,Chile,2013,1171.77038574
CHL,YR2012,Chile,2012,1070.51293945
CHL,YR2011,Chile,2011,984.4486084
CHL,YR2010,Chile,2010,861.72436523
SGP,YR2022,Singapore,2022,4320.51611328
SGP,YR2021,Singapore,2021,4044.17333984
SGP,YR2020,Singapore,2020,3492.35986328
SGP,YR2019,Singapore,2019,2893.78222656
SGP,YR2018,Singapore,2018,2688.27270508
SGP,YR2017,Singapore,2017,2645.3293457
SGP,YR2016,Singapore,2016,2488.28295898
SGP,YR2015,Singapore,2015,2330.39599609
SGP,YR2014,Singapore,2014,2233.34960938
SGP,YR2013,Singapore,2013,2102.97021484
SGP,YR2012,Singapore,2012,1853.02429199
SGP,YR2011,Singapore,2011,1700.1685791
SGP,YR2010,Singapore,2010,1510.66784668
KOR,YR2023,"Korea, Rep.",2023,3269.70385742
KOR,YR2022,"Korea, Rep.",2022,3049.67163086
KOR,YR2021,"Korea, Rep.",2021,3141.52246094
KOR,YR2020,"Korea, Rep.",2020,2649.33422852
KOR,YR2019,"Korea, Rep.",2019,2592.47851563
KOR,YR2018,"Korea, Rep.",2018,2493.33569336
KOR,YR2017,"Korea, Rep.",2017,2221.75146484
KOR,YR2016,"Korea, Rep.",2016,2015.13208008
KOR,YR2015,"Korea, Rep.",2015,1933.61779785
KOR,YR2014,"Korea, Rep.",2014,1909.91503906
KOR,YR2013,"Korea, Rep.",2013,1727.56616211
KOR,YR2012,"Korea, Rep.",2012,1591.78039551
KOR,YR2011,"Korea, Rep.",2011,1562.21313477
KOR,YR2010,"Korea, Rep.",2010,1413.15209961
JPN,YR2022,Japan,2022,3889.35717773
JPN,YR2021,Japan,2021,4482.61816406
JPN,YR2020,Japan,2020,4486.63671875
JPN,YR2019,Japan,2019,4431.29980469
JPN,YR2018,Japan,2018,4265.77929688
JPN,YR2017,Japan,2017,4135.24316406
JPN,YR2016,Japan,2016,4194.22802734
JPN,YR2015,Japan,2015,3754.18115234
JPN,YR2014,Japan,2014,4121.21142578
JPN,YR2013,Japan,2013,4356.15527344
JPN,YR2012,Japan,2012,5232.36279297
