economy,time,Country,Time,SH.XPD.CHEX.GD.ZS
POL,YR2023,Poland,2023,7.00451565
POL,YR2022,Poland,2022,6.39626455
POL,YR2021,Poland,2021,6.43857718
POL,YR2020,Poland,2020,6.49677992
POL,YR2019,Poland,2019,6.46008492
POL,YR2018,Poland,2018,6.3129096
POL,YR2017,Poland,2017,6.58342791
POL,YR2016,Poland,2016,6.59210491
POL,YR2015,Poland,2015,6.40416241
POL,YR2014,Poland,2014,6.42679548
POL,YR2013,Poland,2013,6.48017406
POL,YR2012,Poland,2012,6.2652421
POL,YR2011,Poland,2011,6.28671598
POL,YR2010,Poland,2010,6.46800566
CHL,YR2023,Chile,2023,10.09532642
CHL,YR2022,Chile,2022,10.06172848
CHL,YR2021,Chile,2021,9.68593311
CHL,YR2020,Chile,2020,9.68910599
CHL,YR2019,Chile,2019,9.29919815
CHL,YR2018,Chile,2018,9.15040398
CHL,YR2017,Chile,2017,9.090518
CHL,YR2016,Chile,2016,8.55767059
CHL,YR2015,Chile,2015,8.3513937
CHL,YR2014,Chile,2014,7.84150171
CHL,YR2013,Chile,2013,7.47552681
CHL,YR2012,Chile,2012,7.01951265
CHL,YR2011,Chile,2011,6.79947519
CHL,YR2010,Chile,2010,6.81958389
SGP,YR2022,Singapore,2022,4.89702511
SGP,YR2021,Singapore,2021,5.16690779
SGP,YR2020,Singapore,2020,5.61608791
SGP,YR2019,Singapore,2019,4.35299158
SGP,YR2018,Singapore,2018,4.01883841
SGP,YR2017,Singapore,2017,4.31881618
SGP,YR2016,Singapore,2016,4.35019255
SGP,YR2015,Singapore,2015,4.18061399
SGP,YR2014,Singapore,2014,3.87132597
SGP,YR2013,Singapore,2013,3.68225336
SGP,YR2012,Singapore,2012,3.32392788
SGP,YR2011,Singapore,2011,3.1539185
SGP,YR2010,Singapore,2010,3.1982615
KOR,YR2023,"Korea, Rep.",2023,9.88014412
KOR,YR2022,"Korea, Rep.",2022,9.43414211
KOR,YR2021,"Korea, Rep.",2021,8.95732689
KOR,YR2020,"Korea, Rep.",2020,8.3554945
KOR,YR2019,"Korea, Rep.",2019,8.1267519
KOR,YR2018,"Korea, Rep.",2018,7.46262026
KOR,YR2017,"Korea, Rep.",2017,7.04771852
KOR,YR2016,"Korea, Rep.",2016,6.89293242
KOR,YR2015,"Korea, Rep.",2015,6.72447348
KOR,YR2014,"Korea, Rep.",2014,6.50225973
KOR,YR2013,"Korea, Rep.",2013,6.31104422
KOR,YR2012,"Korea, Rep.",2012,6.17752457
KOR,YR2011,"Korea, Rep.",2011,6.12371254
KOR,YR2010,"Korea, Rep.",2010,6.02606916
JPN,YR2022,Japan,2022,11.42183685
JPN,YR2021,Japan,2021,11.18996906
JPN,YR2020,Japan,2020,11.20903683
JPN,YR2019,Japan,2019,10.96998405
JPN,YR2018,Japan,2018,10.73988247
JPN,YR2017,Japan,2017,10.65627098
JPN,YR2016,Japan,2016,10.65891552
JPN,YR2015,Japan,2015,10.74969959
JPN,YR2014,Japan,2014,10.7290144
JPN,YR2013,Japan,2013,10.67438698
JPN,YR2012,Japan,2012,10.67169094
JPN,YR2011,Japan,2011,10.48780155
JPN,YR2010,Japan,2010,9.0630064
IDN,YR2022,Indonesia,2022,2.69394851
IDN,YR2021,Indonesia,2021,3.70634937
IDN,YR2020,Indonesia,2020,3.42067289
IDN,YR2019,Indonesia,2019,2.87862897
IDN,YR2018,Indonesia,2018,2.86757827
IDN,YR2017,Indonesia,2017,2.90417194
IDN,YR2016,Indonesia,2016,3.02147198
IDN,YR2015,Indonesia,2015,2.92428517
IDN,YR2014,Indonesia,2014,2.96433568
IDN,YR2013,Indonesia,2013,2.86934805
IDN,YR2012,Indonesia,2012,2.91427088
IDN,YR2011,Indonesia,2011,2.98942471
IDN,YR2010,Indonesia,2010,2.7908783
COL,YR2023,Colombia,2023,7.69168758
COL,YR2022,Colombia,2022,7.57361269
COL,YR2021,Colombia,2021,9.01772404
COL,YR2020,Colombia,2020,8.71432114
COL,YR2019,Colombia,2019,7.77954912
COL,YR2018,Colombia,2018,7.62541389
COL,YR2017,Colombia,2017,7.67864323
COL,YR2016,Colombia,2016,7.53117037
COL,YR2015,Colombia,2015,7.52338505
COL,YR2014,Colombia,2014,7.18553209
COL,YR2013,Colombia,2013,7.01724052
COL,YR2012,Colombia,2012,6.74601603
COL,YR2011,Colombia,2011,6.78076792
COL,YR2010,Colombia,2010,7.07130194
TUR,YR2022,Turkiye,2022,3.70338893
TUR,YR2021,Turkiye,2021,4.56065559
TUR,YR2020,Turkiye,2020,4.61640215
TUR,YR2019,Turkiye,2019,4.35954332
TUR,YR2018,Turkiye,2018,4.12101603
TUR,YR2017,Turkiye,2017,4.17974997
TUR,YR2016,Turkiye,2016,4.28469229
TUR,YR2015,Turkiye,2015,4.11690426
TUR,YR2014,Turkiye,2014,4.32517862
TUR,YR2013,Turkiye,2013,4.37099934
TUR,YR2012,Turkiye,2012,4.44444656
TUR,YR2011,Turkiye,2011,4.6530509
TUR,YR2010,Turkiye,2010,5.02053452
MEX,YR2022,Mexico,2022,5.72145176
MEX,YR2021,Mexico,2021,5.89244318
MEX,YR2020,Mexico,2020,6.0537405
MEX,YR2019,Mexico,2019,5.29685831
MEX,YR2018,Mexico,2018,5.23821402
MEX,YR2017,Mexico,2017,5.3117938
MEX,YR2016,Mexico,2016,5.38499022
MEX,YR2015,Mexico,2015,5.52738619
MEX,YR2014,Mexico,2014,5.35336781
MEX,YR2013,Mexico,2013,5.5773263
MEX,YR2012,Mexico,2012,5.42140484
MEX,YR2011,Mexico,2011,5.30093002
MEX,YR2010,Mexico,2010,5.4897337
CHN,YR2022,China,2022,5.36948681
CHN,YR2021,China,2021,5.38360548
CHN,YR2020,China,2020,5.59359741
CHN,YR2019,China,2019,5.3502779
CHN,YR2018,China,2018,5.16790485
CHN,YR2017,China,2017,5.06592178
CHN,YR2016,China,2016,4.97955608
CHN,YR2015,China,2015,4.93827963
CHN,YR2014,China,2014,4.77790594
CHN,YR2013,China,2013,4.71490669
CHN,YR2012,China,2012,4.56584787
CHN,YR2011,China,2011,4.34274387
CHN,YR2010,China,2010,4.23068333
THA,YR2022,Thailand,2022,5.35470581
THA,YR2021,Thailand,2021,5.15337038
THA,YR2020,Thailand,2020,4.35724688
THA,YR2019,Thailand,2019,3.78911877
THA,YR2018,Thailand,2018,3.87040329
THA,YR2017,Thailand,2017,3.85276842
THA,YR2016,Thailand,2016,3.93900609
THA,YR2015,Thailand,2015,3.8522861
THA,YR2014,Thailand,2014,3.68448091
THA,YR2013,Thailand,2013,3.45313334
THA,YR2012,Thailand,2012,3.5229404
THA,YR2011,Thailand,2011,3.56825495
THA,YR2010,Thailand,2010,3.39009809
ZAF,YR2022,South Africa,2022,8.77086639
ZAF,YR2021,South Africa,2021,8.67432785
ZAF,YR2020,South Africa,2020,9.01329231
ZAF,YR2019,South Africa,2019,8.24652576
ZAF,YR2018,South Africa,2018,8.08196545
ZAF,YR2017,South Africa,2017,7.97711229
ZAF,YR2016,South Africa,2016,8.07959366
ZAF,YR2015,South Africa,2015,8.05304241
ZAF,YR2014,South Africa,2014,7.87136555
ZAF,YR2013,South Africa,2013,8.10322285
ZAF,YR2012,South Africa,2012,8.00428867
ZAF,YR2011,South Africa,2011,7.94434404
ZAF,YR2010,South Africa,2010,7.79358244
BRA,YR2022,Brazil,2022,9.14277458
BRA,YR2021,Brazil,2021,9.63646507
BRA,YR2020,Brazil,2020,9.62326527
BRA,YR2019,Brazil,2019,9.61449146
BRA,YR2018,Brazil,2018,9.46475029
BRA,YR2017,Brazil,2017,9.47125053
BRA,YR2016,Brazil,2016,9.16901684
BRA,YR2015,Brazil,2015,8.90929985
BRA,YR2014,Brazil,2014,8.39644146
BRA,YR2013,Brazil,2013,7.9766016
BRA,YR2012,Brazil,2012,7.73637724
BRA,YR2011,Brazil,2011,7.78819132
BRA,YR2010,Brazil,2010,7.94516611
GHA,YR2022,Ghana,2022,3.6993649
GHA,YR2021,Ghana,2021,3.86030865
GHA,YR2020,Ghana,2020,4.4331708
GHA,YR2019,Ghana,2019,3.25450468
GHA,YR2018,Ghana,2018,2.43001175
GHA,YR2017,Ghana,2017,2.68786979
GHA,YR2016,Ghana,2016,3.39035821
GHA,YR2015,Ghana,2015,4.5429678
GHA,YR2014,Ghana,2014,4.01644135
GHA,YR2013,Ghana,2013,4.59225416
GHA,YR2012,Ghana,2012,3.91583276
GHA,YR2011,Ghana,2011,4.4685564
GHA,YR2010,Ghana,2010,4.73425055
NGA,YR2022,Nigeria,2022,4.27090406
NGA,YR2021,Nigeria,2021,4.07625723
NGA,YR2020,Nigeria,2020,3.38063431
NGA,YR2019,Nigeria,2019,2.98547053
NGA,YR2018,Nigeria,2018,3.09069347
NGA,YR2017,Nigeria,2017,3.74762511
NGA,YR2016,Nigeria,2016,3.64773679
NGA,YR2015,Nigeria,2015,3.58194995
NGA,YR2014,Nigeria,2014,3.34840417
NGA,YR2013,Nigeria,2013,3.4206934
NGA,YR2012,Nigeria,2012,3.35984254
NGA,YR2011,Nigeria,2011,3.32077932
NGA,YR2010,Nigeria,2010,3.29653287
PAK,YR2022,Pakistan,2022,2.90434051
PAK,YR2021,Pakistan,2021,2.99015832
PAK,YR2020,Pakistan,2020,2.95273018
PAK,YR2019,Pakistan,2019,2.84736943
PAK,YR2018,Pakistan,2018,2.82844949
PAK,YR2017,Pakistan,2017,2.7863009
PAK,YR2016,Pakistan,2016,2.57026362
PAK,YR2015,Pakistan,2015,2.49493265
PAK,YR2014,Pakistan,2014,2.48899078
PAK,YR2013,Pakistan,2013,2.4164784
PAK,YR2012,Pakistan,2012,2.22185278
PAK,YR2011,Pakistan,2011,2.23121333
PAK,YR2010,Pakistan,2010,2.42967653
EGY,YR2022,"Egypt, Arab Rep.",2022,4.70438385
EGY,YR2021,"Egypt, Arab Rep.",2021,4.60955143
EGY,YR2020,"Egypt, Arab Rep.",2020,4.15384626
EGY,YR2019,"Egypt, Arab Rep.",2019,4.5994668
EGY,YR2018,"Egypt, Arab Rep.",2018,4.74892998
EGY,YR2017,"Egypt, Arab Rep.",2017,5.34661913
EGY,YR2016,"Egypt, Arab Rep.",2016,5.07462406
EGY,YR2015,"Egypt, Arab Rep.",2015,5.06153202
EGY,YR2014,"Egypt, Arab Rep.",2014,4.77415323
EGY,YR2013,"Egypt, Arab Rep.",2013,4.6710043
EGY,YR2012,"Egypt, Arab Rep.",2012,4.45891809
EGY,YR2011,"Egypt, Arab Rep.",2011,4.35707569
EGY,YR2010,"Egypt, Arab Rep.",2010,4.15319157
PHL,YR2023,Philippines,2023,5.10629606
PHL,YR2022,Philippines,2022,5.15676308
PHL,YR2021,Philippines,2021,5.97500563
PHL,YR2020,Philippines,2020,5.16214037
PHL,YR2019,Philippines,2019,4.16646004
PHL,YR2018,Philippines,2018,3.9538188
PHL,YR2017,Philippines,2017,3.96042776
PHL,YR2016,Philippines,2016,3.95484328
PHL,YR2015,Philippines,2015,3.8982749
PHL,YR2014,Philippines,2014,3.70313668
PHL,YR2013,Philippines,2013,4.27408695
PHL,YR2012,Philippines,2012,4.17709208
PHL,YR2011,Philippines,2011,4.02518559
PHL,YR2010,Philippines,2010,4.13107872
IND,YR2022,India,2022,3.3058846
IND,YR2021,India,2021,3.34680939
IND,YR2020,India,2020,3.34146094
IND,YR2019,India,2019,2.95299792
IND,YR2018,India,2018,2.8584938
IND,YR2017,India,2017,2.93597651
IND,YR2016,India,2016,3.50430417
IND,YR2015,India,2015,3.59565973
IND,YR2014,India,2014,3.61956549
IND,YR2013,India,2013,3.74944186
IND,YR2012,India,2012,3.32935286
IND,YR2011,India,2011,3.24634218
IND,YR2010,India,2010,3.33625913
BGD,YR2022,Bangladesh,2022,2.39038587
BGD,YR2021,Bangladesh,2021,2.36551309
BGD,YR2020,Bangladesh,2020,2.27063942
BGD,YR2019,Bangladesh,2019,2.25762248
BGD,YR2018,Bangladesh,2018,2.31622243
BGD,YR2017,Bangladesh,2017,2.36720181
BGD,YR2016,Bangladesh,2016,2.38938212
BGD,YR2015,Bangladesh,2015,2.27217698
BGD,YR2014,Bangladesh,2014,2.27915168
BGD,YR2013,Bangladesh,2013,2.29574466
BGD,YR2012,Bangladesh,2012,2.3537879
BGD,YR2011,Bangladesh,2011,2.36418128
BGD,YR2010,Bangladesh,2010,2.28807664
KEN,YR2022,Kenya,2022,4.32603645
KEN,YR2021,Kenya,2021,4.56525421
KEN,YR2020,Kenya,2020,4.49248838
KEN,YR2019,Kenya,2019,4.36874676
KEN,YR2018,Kenya,2018,4.09903383
KEN,YR2017,Kenya,2017,3.98597503
KEN,YR2016,Kenya,2016,4.75429106
KEN,YR2015,Kenya,2015,4.76439571
KEN,YR2014,Kenya,2014,4.91267347
KEN,YR2013,Kenya,2013,4.93100405
KEN,YR2012,Kenya,2012,5.0180583
KEN,YR2011,Kenya,2011,5.20212841
KEN,YR2010,Kenya,2010,5.38849831
MDG,YR2022,Madagascar,2022,3.25023246
MDG,YR2021,Madagascar,2021,3.5045228
MDG,YR2020,Madagascar,2020,3.72316122
MDG,YR2019,Madagascar,2019,3.10129309
MDG,YR2018,Madagascar,2018,4.22160387
MDG,YR2017,Madagascar,2017,4.80225945
MDG,YR2016,Madagascar,2016,5.33248854
MDG,YR2015,Madagascar,2015,5.0062542
MDG,YR2014,Madagascar,2014,4.46240282
MDG,YR2013,Madagascar,2013,3.75156307
MDG,YR2012,Madagascar,2012,3.91105914
MDG,YR2011,Madagascar,2011,4.521595
MDG,YR2010,Madagascar,2010,4.69762659
UGA,YR2022,Uganda,2022,4.39089251
UGA,YR2021,Uganda,2021,5.48128128
UGA,YR2020,Uganda,2020,5.23698568
UGA,YR2019,Uganda,2019,3.79371166
UGA,YR2018,Uganda,2018,4.02143908
UGA,YR2017,Uganda,2017,3.99852037
UGA,YR2016,Uganda,2016,5.00792885
UGA,YR2015,Uganda,2015,4.99643135
UGA,YR2014,Uganda,2014,5.33653069
UGA,YR2013,Uganda,2013,5.78252411
UGA,YR2012,Uganda,2012,6.10853958
UGA,YR2011,Uganda,2011,6.6959095
UGA,YR2010,Uganda,2010,6.80890226
RWA,YR2022,Rwanda,2022,7.8792119
RWA,YR2021,Rwanda,2021,7.30378389
RWA,YR2020,Rwanda,2020,7.48696899
RWA,YR2019,Rwanda,2019,6.26708555
RWA,YR2018,Rwanda,2018,6.65483093
RWA,YR2017,Rwanda,2017,6.3665309
RWA,YR2016,Rwanda,2016,6.96089125
RWA,YR2015,Rwanda,2015,6.65067434
RWA,YR2014,Rwanda,2014,6.98471594
RWA,YR2013,Rwanda,2013,6.77398062
RWA,YR2012,Rwanda,2012,8.10223293
RWA,YR2011,Rwanda,2011,7.93241739
RWA,YR2010,Rwanda,2010,8.08192921
AFG,YR2022,Afghanistan,2022,23.0881691
AFG,YR2021,Afghanistan,2021,21.508461
AFG,YR2020,Afghanistan,2020,15.53361416
AFG,YR2019,Afghanistan,2019,14.83131981
AFG,YR2018,Afghanistan,2018,14.20841885
AFG,YR2017,Afghanistan,2017,12.62081718
AFG,YR2016,Afghanistan,2016,11.81859016
AFG,YR2015,Afghanistan,2015,10.10534763
AFG,YR2014,Afghanistan,2014,9.52887821
AFG,YR2013,Afghanistan,2013,8.80596447
AFG,YR2012,Afghanistan,2012,7.89716864
AFG,YR2011,Afghanistan,2011,8.56190777
AFG,YR2010,Afghanistan,2010,8.56967163
