economy,time,Country,Time,EN.POP.DNST
POL,YR2023,Poland,2023,119.787615502661
POL,YR2022,Poland,2022,120.297131562612
POL,YR2021,Poland,2021,120.815285854296
POL,YR2020,Poland,2020,122.548420605625
POL,YR2019,Poland,2019,124.025595374212
POL,YR2018,Poland,2018,124.031583760656
POL,YR2017,Poland,2017,124.0237303635
POL,YR2016,Poland,2016,124.008253045495
POL,YR2015,Poland,2015,124.061569613639
POL,YR2014,Poland,2014,124.144273163722
POL,YR2013,Poland,2013,124.229110740995
POL,YR2012,Poland,2012,124.300058781268
POL,YR2011,Poland,2011,124.296296901022
POL,YR2010,Poland,2010,124.209200731357
CHL,YR2023,Chile,2023,26.4647249005172
CHL,YR2022,Chile,2022,26.3222982801325
CHL,YR2021,Chile,2021,26.192118041714
CHL,YR2020,Chile,2020,26.0767352343796
CHL,YR2019,Chile,2019,25.84400416762
CHL,YR2018,Chile,2018,25.4526848895971
CHL,YR2017,Chile,2017,25.002288872834
CHL,YR2016,Chile,2016,24.6093854617587
CHL,YR2015,Chile,2015,24.333348398175
CHL,YR2014,Chile,2014,24.0860324163393
CHL,YR2013,Chile,2013,23.7878208335351
CHL,YR2012,Chile,2012,23.5620242302954
CHL,YR2011,Chile,2011,23.3370130673596
CHL,YR2010,Chile,2010,23.107901206673
SGP,YR2023,Singapore,2023,8241.8495821727
SGP,YR2022,Singapore,2022,7851.00557103064
SGP,YR2021,Singapore,2021,7595.49582172702
SGP,YR2020,Singapore,2020,7918.95125348189
SGP,YR2019,Singapore,2019,7965.87849162011
SGP,YR2018,Singapore,2018,7897.30532212885
SGP,YR2017,Singapore,2017,7882.37780898876
SGP,YR2016,Singapore,2016,7908.72073342736
SGP,YR2015,Singapore,2015,7806.77291960508
SGP,YR2014,Singapore,2014,7714.7023977433
SGP,YR2013,Singapore,2013,7636.72135785007
SGP,YR2012,Singapore,2012,7524.69830028329
SGP,YR2011,Singapore,2011,7363.19318181818
SGP,YR2010,Singapore,2010,7231.81196581197
KOR,YR2023,"Korea, Rep.",2023,529.842407786885
KOR,YR2022,"Korea, Rep.",2022,529.43205942623
KOR,YR2021,"Korea, Rep.",2021,530.425604508197
KOR,YR2020,"Korea, Rep.",2020,531.109006147541
KOR,YR2019,"Korea, Rep.",2019,530.377274590164
KOR,YR2018,"Korea, Rep.",2018,528.969011484824
KOR,YR2017,"Korea, Rep.",2017,526.734806686494
KOR,YR2016,"Korea, Rep.",2016,525.370072521002
KOR,YR2015,"Korea, Rep.",2015,523.525547744882
KOR,YR2014,"Korea, Rep.",2014,520.852499230217
KOR,YR2013,"Korea, Rep.",2013,517.612269825303
KOR,YR2012,"Korea, Rep.",2012,515.875583187751
KOR,YR2011,"Korea, Rep.",2011,513.804280275749
KOR,YR2010,"Korea, Rep.",2010,509.815967078189
JPN,YR2023,Japan,2023,341.54455749932
JPN,YR2022,Japan,2022,343.278433470508
JPN,YR2021,Japan,2021,344.80546776406
JPN,YR2020,Japan,2020,346.395061728395
JPN,YR2019,Japan,2019,347.415637860082
JPN,YR2018,Japan,2018,347.903978052126
JPN,YR2017,Japan,2017,348.345679012346
JPN,YR2016,Japan,2016,348.631001371742
JPN,YR2015,Japan,2015,348.809327846365
JPN,YR2014,Japan,2014,349.179698216735
JPN,YR2013,Japan,2013,349.643347050754
JPN,YR2012,Japan,2012,350.148148148148
JPN,YR2011,Japan,2011,350.707818930041
JPN,YR2010,Japan,2010,351.358024691358
IDN,YR2023,Indonesia,2023,148.57692229227
IDN,YR2022,Indonesia,2022,147.330175215419
IDN,YR2021,Indonesia,2021,146.235107708626
IDN,YR2020,Indonesia,2020,146.371283592869
IDN,YR2019,Indonesia,2019,145.132688936836
IDN,YR2018,Indonesia,2018,143.781152680745
IDN,YR2017,Indonesia,2017,142.393583234045
IDN,YR2016,Indonesia,2016,140.945267664402
IDN,YR2015,Indonesia,2015,139.438934572699
IDN,YR2014,Indonesia,2014,137.882705314833
IDN,YR2013,Indonesia,2013,136.271572751061
IDN,YR2012,Indonesia,2012,134.591727167608
IDN,YR2011,Indonesia,2011,132.872174396105
IDN,YR2010,Indonesia,2010,131.186593584406
COL,YR2023,Colombia,2023,47.1574150518251
COL,YR2022,Colombia,2022,46.6317656602073
COL,YR2021,Colombia,2021,46.1362532672375
COL,YR2020,Colombia,2020,45.6331653898152
COL,YR2019,Colombia,2019,44.9824109959441
COL,YR2018,Colombia,2018,44.1860883280757
COL,YR2017,Colombia,2017,43.3808724650744
COL,YR2016,Colombia,2016,42.7557566471383
COL,YR2015,Colombia,2015,42.3343307796305
COL,YR2014,Colombia,2014,41.969742226228
COL,YR2013,Colombia,2013,41.5967408742677
COL,YR2012,Colombia,2012,41.2039747634069
COL,YR2011,Colombia,2011,40.7928021631365
COL,YR2010,Colombia,2010,40.3581063542136
TUR,YR2023,Turkiye,2023,110.866214934449
TUR,YR2022,Turkiye,2022,110.416580694619
TUR,YR2021,Turkiye,2021,109.334768655068
TUR,YR2020,Turkiye,2020,108.343853540013
TUR,YR2019,Turkiye,2019,107.297584553617
TUR,YR2018,Turkiye,2018,105.774468250978
TUR,YR2017,Turkiye,2017,104.352348531112
