economy,time,Country,Time,SP.POP.TOTL
POL,YR2023,Poland,2023,36687353.0
POL,YR2022,Poland,2022,36821749.0
POL,YR2021,Poland,2021,36981559.0
POL,YR2020,Poland,2020,37515748.0
POL,YR2019,Poland,2019,37965475.0
POL,YR2018,Poland,2018,37974750.0
POL,YR2017,Poland,2017,37974826.0
POL,YR2016,Poland,2016,37970087.0
POL,YR2015,Poland,2015,37986412.0
POL,YR2014,Poland,2014,38011735.0
POL,YR2013,Poland,2013,38040196.0
POL,YR2012,Poland,2012,38063164.0
POL,YR2011,Poland,2011,38063255.0
POL,YR2010,Poland,2010,38042794.0
CHL,YR2023,Chile,2023,19658835.0
CHL,YR2022,Chile,2022,19553036.0
CHL,YR2021,Chile,2021,19456334.0
CHL,YR2020,Chile,2020,19370624.0
CHL,YR2019,Chile,2019,19197744.0
CHL,YR2018,Chile,2018,18893191.0
CHL,YR2017,Chile,2017,18558868.0
CHL,YR2016,Chile,2016,18267221.0
CHL,YR2015,Chile,2015,18047625.0
CHL,YR2014,Chile,2014,17864195.0
CHL,YR2013,Chile,2013,17687006.0
CHL,YR2012,Chile,2012,17519119.0
CHL,YR2011,Chile,2011,17351816.0
CHL,YR2010,Chile,2010,17181464.0
SGP,YR2023,Singapore,2023,5917648.0
SGP,YR2022,Singapore,2022,5637022.0
SGP,YR2021,Singapore,2021,5453566.0
SGP,YR2020,Singapore,2020,5685807.0
SGP,YR2019,Singapore,2019,5703569.0
SGP,YR2018,Singapore,2018,5638676.0
SGP,YR2017,Singapore,2017,5612253.0
SGP,YR2016,Singapore,2016,5607283.0
SGP,YR2015,Singapore,2015,5535002.0
SGP,YR2014,Singapore,2014,5469724.0
SGP,YR2013,Singapore,2013,5399162.0
SGP,YR2012,Singapore,2012,5312437.0
SGP,YR2011,Singapore,2011,5183688.0
SGP,YR2010,Singapore,2010,5076732.0
KOR,YR2023,"Korea, Rep.",2023,51712619.0
KOR,YR2022,"Korea, Rep.",2022,51672569.0
KOR,YR2021,"Korea, Rep.",2021,51769539.0
KOR,YR2020,"Korea, Rep.",2020,51836239.0
KOR,YR2019,"Korea, Rep.",2019,51764822.0
KOR,YR2018,"Korea, Rep.",2018,51585058.0
KOR,YR2017,"Korea, Rep.",2017,51361911.0
KOR,YR2016,"Korea, Rep.",2016,51217803.0
KOR,YR2015,"Korea, Rep.",2015,51014947.0
KOR,YR2014,"Korea, Rep.",2014,50746659.0
KOR,YR2013,"Korea, Rep.",2013,50428893.0
KOR,YR2012,"Korea, Rep.",2012,50199853.0
KOR,YR2011,"Korea, Rep.",2011,49936638.0
KOR,YR2010,"Korea, Rep.",2010,49554112.0
JPN,YR2023,Japan,2023,124516650.0
JPN,YR2022,Japan,2022,125124989.0
JPN,YR2021,Japan,2021,125681593.0
JPN,YR2020,Japan,2020,126261000.0
JPN,YR2019,Japan,2019,126633000.0
JPN,YR2018,Japan,2018,126811000.0
JPN,YR2017,Japan,2017,126972000.0
JPN,YR2016,Japan,2016,127076000.0
JPN,YR2015,Japan,2015,127141000.0
JPN,YR2014,Japan,2014,127276000.0
JPN,YR2013,Japan,2013,127445000.0
JPN,YR2012,Japan,2012,127629000.0
JPN,YR2011,Japan,2011,127833000.0
JPN,YR2010,Japan,2010,128070000.0
IDN,YR2023,Indonesia,2023,281190067.0
IDN,YR2022,Indonesia,2022,278830529.0
IDN,YR2021,Indonesia,2021,276758053.0
IDN,YR2020,Indonesia,2020,274814866.0
IDN,YR2019,Indonesia,2019,272489381.0
IDN,YR2018,Indonesia,2018,269951846.0
IDN,YR2017,Indonesia,2017,267346658.0
IDN,YR2016,Indonesia,2016,264627418.0
IDN,YR2015,Indonesia,2015,261799249.0
IDN,YR2014,Indonesia,2014,258877399.0
IDN,YR2013,Indonesia,2013,255852467.0
IDN,YR2012,Indonesia,2012,252698525.0
IDN,YR2011,Indonesia,2011,249470032.0
IDN,YR2010,Indonesia,2010,246305322.0
COL,YR2023,Colombia,2023,52321152.0
COL,YR2022,Colombia,2022,51737944.0
