Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8819067,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2016,,,,,,,4.89,4.89,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
8912857,HWF_0001,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2020,,,,,,,7.23,7.23,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9243152,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2018,,,,,,,5.73,5.73,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9249952,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2014,,,,,,,22.92,22.92,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9273298,HWF_0001,COUNTRY,TUR,EUR,YEAR,Europe,,,2016,,,,,,,17.74,17.74,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9286976,HWF_0001,COUNTRY,MDG,AFR,YEAR,Africa,,,2012,,,,,,,1.36,1.36,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9385837,HWF_0001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2018,,,,,,,4.21,4.21,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9431877,HWF_0001,COUNTRY,MDG,AFR,YEAR,Africa,,,2010,,,,,,,1.86,1.86,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9444158,HWF_0001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2019,,,,,,,6.97,6.97,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9492519,HWF_0001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,3.03,3.03,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
9588721,HWF_0001,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2010,,,,,,,17.79,17.79,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
9618969,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2011,,,,,,,5.54,5.54,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
9651523,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2014,,,,,,,22.37,22.37,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9694563,HWF_0001,COUNTRY,NGA,AFR,YEAR,Africa,,,2021,,,,,,,3.86,3.86,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9722042,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2019,,,,,,,6.3,6.3,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9795904,HWF_0001,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2020,,,,,,,25.92,25.92,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9822175,HWF_0001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2022,,,,,,,6.81,6.81,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9845052,HWF_0001,COUNTRY,UGA,AFR,YEAR,Africa,,,2015,,,,,,,0.97,0.97,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9916432,HWF_0001,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2017,,,,,,,23.43,23.43,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
10035740,HWF_0001,COUNTRY,NGA,AFR,YEAR,Africa,,,2022,,,,,,,3.86,3.86,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
10053604,HWF_0001,COUNTRY,ZAF,AFR,YEAR,Africa,,,2018,,,,,,,7.42,7.42,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
10211669,HWF_0001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2015,,,,,,,2.7,2.7,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7912527,HWF_0001,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2010,,,,,,,3.83,3.83,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8027728,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2014,,,,,,,4.78,4.78,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8219953,HWF_0001,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2012,,,,,,,15.62,15.62,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
8238814,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2013,,,,,,,22.28,22.28,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
8272727,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2017,,,,,,,6.6,6.6,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8365671,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2016,,,,,,,6.31,6.31,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
8466489,HWF_0001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2023,,,,,,,3.17,3.17,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
8680280,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2021,,,,,,,25.41,25.41,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8685782,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,7.48,7.48,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
8716856,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2018,,,,,,,6.95,6.95,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8731109,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,8.18,8.18,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
29107,HWF_0001,COUNTRY,UGA,AFR,YEAR,Africa,,,2020,,,,,,,1.58,1.58,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
40319,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2012,,,,,,,5.64,5.64,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
238332,HWF_0001,COUNTRY,GHA,AFR,YEAR,Africa,,,2021,,,,,,,1.28,1.28,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
251614,HWF_0001,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2014,,,,,,,7.15,7.15,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
257182,HWF_0001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2023,,,,,,,5.24,5.24,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
598269,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2021,,,,,,,29.79,29.79,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
600000,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2012,,,,,,,7.75,7.75,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
638662,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2014,,,,,,,20.16,20.16,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
714697,HWF_0001,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2018,,,,,,,23.86,23.86,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
797162,HWF_0001,COUNTRY,ZAF,AFR,YEAR,Africa,,,2021,,,,,,,7.81,7.81,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
845678,HWF_0001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2017,,,,,,,3.73,3.73,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
859343,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2015,,,,,,,8.5,8.5,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
947842,HWF_0001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2013,,,,,,,2.9,2.9,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1012414,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2018,,,,,,,9.17,9.17,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1023483,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2020,,,,,,,27.98,27.98,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1158174,HWF_0001,COUNTRY,COL,AMR,YEAR,Americas,,,2016,,,,,,,20.88,20.88,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1190059,HWF_0001,COUNTRY,COL,AMR,YEAR,Americas,,,2020,,,,,,,23.94,23.94,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1201625,HWF_0001,COUNTRY,KEN,AFR,YEAR,Africa,,,2018,,,,,,,1.6,1.6,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1298415,HWF_0001,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2012,,,,,,,22.83,22.83,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
