economy,time,Country,Time,SP.URB.TOTL.IN.ZS
POL,YR2023,Poland,2023,60.218
POL,YR2022,Poland,2022,60.134
POL,YR2021,Poland,2021,60.075
POL,YR2020,Poland,2020,60.043
POL,YR2019,Poland,2019,60.037
POL,YR2018,Poland,2018,60.058
POL,YR2017,Poland,2017,60.105
POL,YR2016,Poland,2016,60.178
POL,YR2015,Poland,2015,60.278
POL,YR2014,Poland,2014,60.403
POL,YR2013,Poland,2013,60.529
POL,YR2012,Poland,2012,60.654
POL,YR2011,Poland,2011,60.78
POL,YR2010,Poland,2010,60.892
CHL,YR2023,Chile,2023,88.012
CHL,YR2022,Chile,2022,87.912
CHL,YR2021,Chile,2021,87.817
CHL,YR2020,Chile,2020,87.727
CHL,YR2019,Chile,2019,87.643
CHL,YR2018,Chile,2018,87.564
CHL,YR2017,Chile,2017,87.49
CHL,YR2016,Chile,2016,87.422
CHL,YR2015,Chile,2015,87.36
CHL,YR2014,Chile,2014,87.303
CHL,YR2013,Chile,2013,87.246
CHL,YR2012,Chile,2012,87.189
CHL,YR2011,Chile,2011,87.132
CHL,YR2010,Chile,2010,87.074
SGP,YR2023,Singapore,2023,100.0
SGP,YR2022,Singapore,2022,100.0
SGP,YR2021,Singapore,2021,100.0
SGP,YR2020,Singapore,2020,100.0
SGP,YR2019,Singapore,2019,100.0
SGP,YR2018,Singapore,2018,100.0
SGP,YR2017,Singapore,2017,100.0
SGP,YR2016,Singapore,2016,100.0
SGP,YR2015,Singapore,2015,100.0
SGP,YR2014,Singapore,2014,100.0
SGP,YR2013,Singapore,2013,100.0
SGP,YR2012,Singapore,2012,100.0
SGP,YR2011,Singapore,2011,100.0
SGP,YR2010,Singapore,2010,100.0
KOR,YR2023,"Korea, Rep.",2023,81.456
KOR,YR2022,"Korea, Rep.",2022,81.427
KOR,YR2021,"Korea, Rep.",2021,81.414
KOR,YR2020,"Korea, Rep.",2020,81.414
KOR,YR2019,"Korea, Rep.",2019,81.43
KOR,YR2018,"Korea, Rep.",2018,81.459
KOR,YR2017,"Korea, Rep.",2017,81.503
KOR,YR2016,"Korea, Rep.",2016,81.562
KOR,YR2015,"Korea, Rep.",2015,81.634
KOR,YR2014,"Korea, Rep.",2014,81.707
KOR,YR2013,"Korea, Rep.",2013,81.779
KOR,YR2012,"Korea, Rep.",2012,81.851
KOR,YR2011,"Korea, Rep.",2011,81.923
KOR,YR2010,"Korea, Rep.",2010,81.936
JPN,YR2023,Japan,2023,92.043
JPN,YR2022,Japan,2022,91.955
JPN,YR2021,Japan,2021,91.867
JPN,YR2020,Japan,2020,91.782
JPN,YR2019,Japan,2019,91.698
JPN,YR2018,Japan,2018,91.616
JPN,YR2017,Japan,2017,91.535
JPN,YR2016,Japan,2016,91.457
JPN,YR2015,Japan,2015,91.381
JPN,YR2014,Japan,2014,91.304
JPN,YR2013,Japan,2013,91.226
JPN,YR2012,Japan,2012,91.148
JPN,YR2011,Japan,2011,91.069
JPN,YR2010,Japan,2010,90.812
IDN,YR2023,Indonesia,2023,58.572
IDN,YR2022,Indonesia,2022,57.934
IDN,YR2021,Indonesia,2021,57.29
IDN,YR2020,Indonesia,2020,56.641
IDN,YR2019,Indonesia,2019,55.985
IDN,YR2018,Indonesia,2018,55.325
IDN,YR2017,Indonesia,2017,54.659
IDN,YR2016,Indonesia,2016,53.989
IDN,YR2015,Indonesia,2015,53.313
IDN,YR2014,Indonesia,2014,52.635
IDN,YR2013,Indonesia,2013,51.955
IDN,YR2012,Indonesia,2012,51.276
IDN,YR2011,Indonesia,2011,50.595
IDN,YR2010,Indonesia,2010,49.914
COL,YR2023,Colombia,2023,82.354
COL,YR2022,Colombia,2022,82.05
COL,YR2021,Colombia,2021,81.74
COL,YR2020,Colombia,2020,81.425
COL,YR2019,Colombia,2019,81.104
COL,YR2018,Colombia,2018,80.778
COL,YR2017,Colombia,2017,80.446
COL,YR2016,Colombia,2016,80.108
COL,YR2015,Colombia,2015,79.764
COL,YR2014,Colombia,2014,79.415
COL,YR2013,Colombia,2013,79.061
COL,YR2012,Colombia,2012,78.701
COL,YR2011,Colombia,2011,78.335
COL,YR2010,Colombia,2010,77.964
TUR,YR2023,Turkiye,2023,77.463
TUR,YR2022,Turkiye,2022,77.022
TUR,YR2021,Turkiye,2021,76.569
TUR,YR2020,Turkiye,2020,76.105
TUR,YR2019,Turkiye,2019,75.63
TUR,YR2018,Turkiye,2018,75.143
TUR,YR2017,Turkiye,2017,74.644
TUR,YR2016,Turkiye,2016,74.134
TUR,YR2015,Turkiye,2015,73.611
TUR,YR2014,Turkiye,2014,73.077
TUR,YR2013,Turkiye,2013,72.531
TUR,YR2012,Turkiye,2012,71.974
TUR,YR2011,Turkiye,2011,71.402
TUR,YR2010,Turkiye,2010,70.825
MEX,YR2023,Mexico,2023,81.582
MEX,YR2022,Mexico,2022,81.3
MEX,YR2021,Mexico,2021,81.016
MEX,YR2020,Mexico,2020,80.731
MEX,YR2019,Mexico,2019,80.444
MEX,YR2018,Mexico,2018,80.156
MEX,YR2017,Mexico,2017,79.867
MEX,YR2016,Mexico,2016,79.577
MEX,YR2015,Mexico,2015,79.285
MEX,YR2014,Mexico,2014,78.993
MEX,YR2013,Mexico,2013,78.699
MEX,YR2012,Mexico,2012,78.405
MEX,YR2011,Mexico,2011,78.111
MEX,YR2010,Mexico,2010,77.815
CHN,YR2023,China,2023,64.57
CHN,YR2022,China,2022,63.56
CHN,YR2021,China,2021,62.512
CHN,YR2020,China,2020,61.428
CHN,YR2019,China,2019,60.308
CHN,YR2018,China,2018,59.152
CHN,YR2017,China,2017,57.96
CHN,YR2016,China,2016,56.736
CHN,YR2015,China,2015,55.5
CHN,YR2014,China,2014,54.259
CHN,YR2013,China,2013,53.013
CHN,YR2012,China,2012,51.765
CHN,YR2011,China,2011,50.511
CHN,YR2010,China,2010,49.226
THA,YR2023,Thailand,2023,53.608
THA,YR2022,Thailand,2022,52.889
THA,YR2021,Thailand,2021,52.163
THA,YR2020,Thailand,2020,51.43
THA,YR2019,Thailand,2019,50.692
THA,YR2018,Thailand,2018,49.949
THA,YR2017,Thailand,2017,49.2
THA,YR2016,Thailand,2016,48.448
THA,YR2015,Thailand,2015,47.694
THA,YR2014,Thailand,2014,46.943
THA,YR2013,Thailand,2013,46.193
THA,YR2012,Thailand,2012,45.445
THA,YR2011,Thailand,2011,44.698
THA,YR2010,Thailand,2010,43.856
ZAF,YR2023,South Africa,2023,68.819
ZAF,YR2022,South Africa,2022,68.335
ZAF,YR2021,South Africa,2021,67.847
ZAF,YR2020,South Africa,2020,67.354
ZAF,YR2019,South Africa,2019,66.856
ZAF,YR2018,South Africa,2018,66.355
ZAF,YR2017,South Africa,2017,65.85
ZAF,YR2016,South Africa,2016,65.341
ZAF,YR2015,South Africa,2015,64.828
ZAF,YR2014,South Africa,2014,64.312
ZAF,YR2013,South Africa,2013,63.793
ZAF,YR2012,South Africa,2012,63.272
ZAF,YR2011,South Africa,2011,62.746
ZAF,YR2010,South Africa,2010,62.218
BRA,YR2023,Brazil,2023,87.788
BRA,YR2022,Brazil,2022,87.555
BRA,YR2021,Brazil,2021,87.317
BRA,YR2020,Brazil,2020,87.073
BRA,YR2019,Brazil,2019,86.824
BRA,YR2018,Brazil,2018,86.569
BRA,YR2017,Brazil,2017,86.309
BRA,YR2016,Brazil,2016,86.042
BRA,YR2015,Brazil,2015,85.77
BRA,YR2014,Brazil,2014,85.492
BRA,YR2013,Brazil,2013,85.209
BRA,YR2012,Brazil,2012,84.923
BRA,YR2011,Brazil,2011,84.631
BRA,YR2010,Brazil,2010,84.335
GHA,YR2023,Ghana,2023,59.238
GHA,YR2022,Ghana,2022,58.615
